qid,vid_name,q,a0,a1,a2,a3,answer_idx,chunk_ids,oracle_idx
_AuZO31q62g_q8_5,_AuZO31q62g,Why do the man and woman have a serious tone while talking?,The man and woman have a serious tone while talking because they think the topic is important.,The man and woman have a serious tone while talking because they are discussing their favorite TV shows.,The man and woman have a serious tone while talking because they are concerned about the topic.,The man and woman have a serious tone while talking because they think the topic is very serious.,3,"[0, 1, 2, 3, 4, 5]",3
_AuZO31q62g_q9_0,_AuZO31q62g,Why do the two people repeat the same idea?,The woman is adding her perspective of the issue to the man's comments,The speakers are arguing about the color of the walls.,The speakers are discussing the weather.,They are giving their separate views on the same idea,0,"[0, 1, 2, 3, 4, 5]",3
_AuZO31q62g_q7_0,_AuZO31q62g,Why does the woman get upset?,She's upset because the woman in the blue shirt is talking too loudly.,She gets mad about something the man says.,She's mad that the woman in the blue shirt is wearing a hat.,She's mad there are commercials that don't sell anything.,3,"[0, 1, 2, 3, 4, 5]",3
_AuZO31q62g_q11_9,_AuZO31q62g,Why does the woman raise her eyebrows at one point?,"The woman raises her eyebrows at one point because she is mocking ""BP.""",The woman raises her eyebrows because she is surprised by the color of the tablecloth.,The woman raises her eyebrows in shock at BP's actions.,She thinks the man said something questionable.,0,"[0, 1, 2, 3, 4, 5]",3
_AuZO31q62g_q6_0,_AuZO31q62g,Why is the woman so serious?,They are talking about a serious topic.,The topic they are discussing is too complicated and she can never understand it.,The woman is nervous because she has to give a speech later.,The woman is angry because her coffee is cold.,0,"[0, 1, 2, 3, 4, 5]",3
_T3uHSwRgdU_q23_0,_T3uHSwRgdU,Does the man enjoy drama and improv?,The woman in red is the lead singer of the Drama Society's band.,"No, he only does it because his friends do it.",The man is only pretending to enjoy drama and improv to be polite.,"Yes, because he manages to find time for it.",3,"[0, 1, 2, 3, 4, 5]",2
_T3uHSwRgdU_q19_0,_T3uHSwRgdU,Does the man expect 100 people to show for his production?,"The man expects for exactly 100 people to show for the production, but he hopes for even more.",He thinks 50 people might show for the production.,The man is excited to see the turnout for the production.,"The man expects fewer than 100 people to show for the production, but he hopes for more.",3,"[0, 1, 2, 3, 4, 5]",2
_T3uHSwRgdU_q20_0,_T3uHSwRgdU,Does the man think the club is well-established?,"Yes, because he mentions its involvement with other drama clubs.",The man thinks the club is struggling to get members.,The man is happy with the club's success.,"No, because it has many fewer members than other clubs.",0,"[0, 1, 2, 3, 4, 5]",2
_T3uHSwRgdU_q13_0,_T3uHSwRgdU,Does the narrator enjoy being part of the drama society?,The narrator has a conflict with the director of the Drama Society.,"Yes, he only speaks positively about it",The narrator is actually bored with the Drama Society.,", he thinks it is too much hard work.",1,"[0, 1, 2, 3, 4, 5]",2
_T3uHSwRgdU_q6_0,_T3uHSwRgdU,How do the students in the video feel about the drama school?,They have a positive about the drama school.,The students are disappointed with the drama society.,The students are indifferent towards the drama society.,They seem to have a positive opinion about the drama school.,3,"[0, 1, 2, 3, 4, 5]",2
_T3uHSwRgdU_q8_3,_T3uHSwRgdU,How does the actor feel about the drama school overall?,He has a positive opinion about the drama school.,He thinks that it is a lot of work.,The actor thinks that the Drama Society is a waste of time.,The actor thinks that the Drama Society is overrated and not worth the effort.,1,"[0, 1, 2, 3, 4, 5]",2
_T3uHSwRgdU_q12_0,_T3uHSwRgdU,How does the boy with the grey shirt feel about what he is doing?,The boy in the grey shirt enjoys what he is doing since he is quite focused and immersed in what he is doing.,"He likes what he's doing, because he's engrossed and this seems to inspire him.",The boy with the grey shirt is distracted and uninterested in what he is doing.,The boy with the grey shirt lacks passion for what he is doing.,0,"[0, 1, 2, 3, 4, 5]",2
_T3uHSwRgdU_q1_0,_T3uHSwRgdU,How does the man feel about the improv club?,The man is discussing his favorite type of music.,He thinks the Drama Society is a waste of time.,He thinks it's a failure because they never have a full audience.,He believes it's very well respected and established.,3,"[0, 1, 2, 3, 4, 5]",2
_T3uHSwRgdU_q10_2,_T3uHSwRgdU,How does the man who is narrating feel about the tickets sales prospects?,He walks past the audience with confidence.,He is interested in ticket sales.,He is worried that they won't sell any tickets.,He is hopeful that they will sell out.,3,"[0, 1, 2, 3, 4, 5]",2
_T3uHSwRgdU_q18_11,_T3uHSwRgdU,How does the narrator feel?,The narrator is nervous about forgetting their lines.,The narrator is excited about going on vacation.,The narrator is angry towards the viewer.,The narrator is proud of his work at the theater,3,"[0, 1, 2, 3, 4, 5]",2
_T3uHSwRgdU_q5_0,_T3uHSwRgdU,Is the boy with glasses confused?,"No, because he is trying to make a joke to the others.","Yes, he is completely confused.","No, he is trying to make a joke to the others.","Yes, because he does not know who is being addressed.",0,"[0, 1, 2, 3, 4, 5]",2
_T3uHSwRgdU_q16_0,_T3uHSwRgdU,Is the man proud of his Drama Society?,"Yes, the man is very proud of his Drama Society.",The man is excited about his new car.,The man is part of the Drama Society and performs in plays as an actor.,The man is proud of his Drama Society.,0,"[0, 1, 2, 3, 4, 5]",2
_T3uHSwRgdU_q17_0,_T3uHSwRgdU,Is the narrator confident in Mr. Burns?,The video shows people playing sports.,"Yes, he is expecting a lot of people to turn up for it",The video features people cooking and eating food.,"No, he has doubt that they will be able to sell enough tickets.",1,"[0, 1, 2, 3, 4, 5]",2
_T3uHSwRgdU_q15_0,_T3uHSwRgdU,What does the man think about his profession?,He hates his job and wishes he could quit.,He thinks it is a relatively easy profession to succeed in.,He thinks it is a demanding but rewarding profession.,He is confident in the success of his profession.,2,"[0, 1, 2, 3, 4, 5]",2
_T3uHSwRgdU_q21_6,_T3uHSwRgdU,Why did the man in the gray turtleneck speak in an unnatural tone?,Because he is trying to remember his lines.,Because he is practicing for a singing competition.,Because he is trying to mimic someone else to teach.,He was having a cold.,2,"[0, 1, 2, 3, 4, 5]",2
_T3uHSwRgdU_q2_0,_T3uHSwRgdU,Why does the boy in the grey shirt laugh?,He is laughing because he just remembered a funny meme.,He thinks he is funny.,He is laughing at something he finds funny.,He is nervous.,3,"[0, 1, 2, 3, 4, 5]",2
_T3uHSwRgdU_q11_0,_T3uHSwRgdU,Why does the girl  with the white sweater lower her head after listening to the boy with the glasses?,She is annoyed by what he said.,She found something that he said humorous.,The girl appears to be surprised after hearing what the man had to say.,She found something that he said funny.,3,"[0, 1, 2, 3, 4, 5]",2
_T3uHSwRgdU_q14_0,_T3uHSwRgdU,Why does the girl in the white jacket lean over when the man with glasses whispers to her?,She is confused by the man's whisper and wants clarification.,She is trying to hide her laughter from the man.,She is upset that she does not know how to act.,She is embarrassed that she does not know how to react.,3,"[0, 1, 2, 3, 4, 5]",2
_T3uHSwRgdU_q3_0,_T3uHSwRgdU,Why does the girl in white hang her head?,The girl in white is upset because she forgot her lines.,The girl in white is feeling sick.,She is ashamed by what she has done.,She is amused and embarrassed for the boy to her right.,3,"[0, 1, 2, 3, 4, 5]",2
_T3uHSwRgdU_q22_0,_T3uHSwRgdU,Why does the man in the glasses and grey v-neck t-shirt whisper something to the lady?,He was reminding her of their shared love for books.,He means to produce a comedic effect,He wants to connect with the lady.,He wishes to covertly inform her of something,1,"[0, 1, 2, 3, 4, 5]",2
_T3uHSwRgdU_q9_0,_T3uHSwRgdU,Why does the man in the gray jacket point his fingers at the girl in the white jacket?,He is exciting her so that she can perform with as much excitement.,He is laughing at how awkwardly she is reacting.,The man is amused by the girl's performance.,He is trying to distract her from her performance.,0,"[0, 1, 2, 3, 4, 5]",2
_T3uHSwRgdU_q4_0,_T3uHSwRgdU,Why does the man with glasses whisper to the girl with the white jacket?,He is telling a secret about the man in the gray jacket.,He is joking with the girl in the white jacket.,"Yes, he was whispering to the girl in the white jacket.",The man with glasses is trying to remember his lines.,1,"[0, 1, 2, 3, 4, 5]",2
_T3uHSwRgdU_q7_3,_T3uHSwRgdU,Why is the actor talking about the drama school?,Because they are having a performance soon.,The actor is happy to have been cast in the lead role for the upcoming musical.,to educate people about it.,Because they are looking for new members to join the society.,0,"[0, 1, 2, 3, 4, 5]",2
_Z1tcdf6qkI_q3_5,_Z1tcdf6qkI,Do the men seem to generally be in good spirits?,Yes because they are smiling,They seem tired and uninterested in the conversation.,They are smiling because they are paid to do so.,No because they are awkward around each other.,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",5
_Z1tcdf6qkI_q2_0,_Z1tcdf6qkI,Does it seem like there is animosity between the members of the group?,The members of the group are constantly fighting.,It does seem like there is animosity between the members of the group.,"No, it does not seem like there is animosity between the members of the group.",The members of the group are all secretly in love with the same person.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",5
_Z1tcdf6qkI_q8_7,_Z1tcdf6qkI,"From this video, how does a watcher know this group is close in relationship?",They are all the same ethnicity.,They are a group of friendly strangers.,They often joke around with each other.,They appear to be supportive of each other.,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",5
_Z1tcdf6qkI_q5_0,_Z1tcdf6qkI,How do the other singers show agreement?,They nod their heads.,"They say them too, as in they do that action too.",They nod their heads to show agreement.,They follow his lead.,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",5
_Z1tcdf6qkI_q1_0,_Z1tcdf6qkI,How does the man in the center feel about the other men?,He knows them well because he knows the reasoning behind their answers to a question.,He doesn't like them because they are always giving bad answers.,He is jealous of the other men's morning routines.,He is annoyed with the other men.,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",5
_Z1tcdf6qkI_q6_6,_Z1tcdf6qkI,Why are the singers laughing throughout the video?,B/c someone said a funny joke.,They are laughing because one of them made a joke.,They are laughing because of a funny memory they shared.,They are thinking of something funny,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",5
_Z1tcdf6qkI_q7_10,_Z1tcdf6qkI,Why are these people talking about themselves?,They have been paid to do so,They are talking about themselves because they want to share their daily routines with their fans.,They are very conceited,They are talking about themselves because they want to promote their upcoming tour.,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",5
_Z1tcdf6qkI_q4_0,_Z1tcdf6qkI,Why does the man with black hair cover his face?,He is trying to hide from the paparazzi.,He is embarrassed by what the man with light brown hair has said and that he is laughing at it.,He has doubts about the group's upcoming tour.,He is trying to hide a pimple on his face.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",5
_s42gOg2WSU_q4_4,_s42gOg2WSU,Does the taller man feel threatened by the shorter man?,He feels threatened at the beginning.,The taller man starts talking louder because he wants to dominate the conversation.,The taller man is trying to impress the others by talking louder.,The taller man feels extremely threatened by the shorter man because the shorter man is always watching him closely. (Rewritten),0,"[0, 1, 2]",1
_s42gOg2WSU_q2_0,_s42gOg2WSU,How do the two men feel about each other?,The two men think the conversation could lead to future collaboration.,They want to get to know each other better.,The two men are competing for the same promotion.,They feel distrustful towards each other.,3,"[0, 1, 2]",1
_s42gOg2WSU_q3_9,_s42gOg2WSU,"In the begining of the video, what can be said about the short man's stance",The short man is distracted by his phone.,The short man is constantly tapping his foot impatiently.,The short man is trying to impress the tall man.,The short man thinks he is above the tall man.,3,"[0, 1, 2]",1
_s42gOg2WSU_q5_6,_s42gOg2WSU,Why does the shorter man keep smiling at the other man?,He is proud of himself.,He is acknowledging the other man as a colleague by this gesture.,He's trying to impress the other man.,He wants to be friendly to the other man.,0,"[0, 1, 2]",1
_s42gOg2WSU_q1_10,_s42gOg2WSU,why does the man throw the folders on the desk one at a time? is that really necessary for efficiency?,The man throws the folders to emphasize that there are many points.,The man throws the folders to show off his strength.,The man throws the folders to distract the other men.,The man throws the folders on the desk one at a time because it is extremely tiring and he likes to show off his arm strength.,0,"[0, 1, 2]",1
_tBXwqueWcg_q5_9,_tBXwqueWcg,How do the other people at 0:17 feel about woman and what she is talking about?,They are bored and uninterested in the conversation.,They are friendly as they are listening,They are engaged in the conversation with the woman and seem to be enjoying her company.,They are distracted and not paying attention to the conversation.,2,"[0, 1, 2, 3, 4]",3
_tBXwqueWcg_q3_1,_tBXwqueWcg,How does the woman feel about the Wellness Training Institute?,She thinks it really helps people and is hence in support and proud of it,The woman is appreciative of the program's free coffee.,It is the same as any wellness program.,The woman thinks the program is too expensive.,0,"[0, 1, 2, 3, 4]",3
_tBXwqueWcg_q1_3,_tBXwqueWcg,The lady is smiling throughout the entire video. This suggests that she is,The lady is smiling throughout the entire video. This suggests that she is happy.,She seems bored with the program.,She is confused by the program.,happy with the program she enrolled in.,3,"[0, 1, 2, 3, 4]",3
